index,order_id,date,status,fulfilment,sales_channel,ship_level,style,sku,category,size,asin,courier_status,qty,currency,amount,ship_city,ship_state,ship_postal,ship_country,promotion_ids,b2b,fulfilled_by
43,603-2242892-1899411,12-01-22,Shipped,Amazon,Amazon.in,Standard,ST216,ST216-KR-L,Western Dress,S,B2930024960,Shipped,3,INR,2408.91,Bhopal,Madhya Pradesh,690180,IN,,False,Easy Ship
44,404-8194570-6123430,12-24-22,Pending,Amazon,Amazon.in,Standard,ST489,ST489-SR-L,Top,3XL,B8293352876,,1,INR,631.89,Agra,Uttar Pradesh,163156,IN,,False,Easy Ship
45,561-8883823-5886520,05-09-22,Shipped,Merchant,Amazon.in,Standard,ST260,ST260-KR-L,Set,3XL,B1441068214,Shipped,1,INR,846.63,Pune,Maharashtra,402099,IN,,False,Easy Ship
46,252-5456573-3386328,11-04-22,Pending,Amazon,Amazon.in,Standard,ST217,ST217-WD-3XL,Set,S,B1918004482,,1,INR,2366.34,Ahmedabad,Gujarat,273982,IN,,False,Easy Ship
47,182-1668752-8248238,12-13-22,Delivered,Amazon,Amazon.in,Expedited,ST652,ST652-SR-L,Bottom,XXL,B5191029073,Delivered,1,INR,861.74,Bhopal,Madhya Pradesh,362529,IN,,True,Easy Ship
48,285-8312936-9249789,06-29-22,Delivered,Amazon,Amazon.in,Expedited,ST581,ST581-SR-M,Kurta,S,B2173083727,Delivered,1,INR,1062.11,Nashik,Maharashtra,464863,IN,,False,Easy Ship
49,190-6276722-5234550,10-23-22,Cancelled,Amazon,Amazon.in,Expedited,ST933,ST933-KR-L,Western Dress,XL,B5125558733,,0,INR,0.0,Kolkata,West Bengal,523808,IN,,False,Easy Ship
50,308-5480460-3198037,12-12-22,Shipped,Amazon,Amazon.in,Expedited,ST740,ST740-SR-XS,Top,S,B4668802946,Shipped,1,INR,452.25,Bhopal,Madhya Pradesh,608257,IN,,False,Easy Ship
51,952-3583206-9361353,05-29-22,Shipped,Merchant,Amazon.in,Standard,ST572,ST572-KR-3XL,Saree,M,B4778299645,Shipped,1,INR,959.99,Lucknow,Uttar Pradesh,386706,IN,,False,Easy Ship
52,382-7961578-6702160,12-17-22,Shipped,Amazon,Amazon.in,Expedited,ST864,ST864-WD-S,Saree,XXL,B7445859307,Shipped,1,INR,3280.23,Bhopal,Madhya Pradesh,102689,IN,,False,Easy Ship
53,429-4165061-5006492,09-18-22,Shipped,Merchant,Amazon.in,Standard,ST665,ST665-SR-L,Top,M,B8361401477,Shipped,1,INR,538.04,Rajkot,Gujarat,344907,IN,,False,Easy Ship
54,229-9427047-6569946,02-28-23,Cancelled,Merchant,Amazon.in,Standard,ST255,ST255-SR-XS,Top,Free,B2269096899,,0,INR,0.0,Amritsar,Punjab,204555,IN,,False,Easy Ship
55,182-6512415-9952696,08-14-22,Shipped,Merchant,Amazon.in,Expedited,ST446,ST446-SR-3XL,Top,XS,B5852501540,Shipped,1,INR,746.07,Chennai,Tamil Nadu,757246,IN,,False,Easy Ship
56,200-2686231-8443690,07-26-22,Delivered,Amazon,Amazon.in,Standard,ST864,ST864-KR-L,Kurta,M,B3150193656,Delivered,1,INR,1219.93,Faridabad,Haryana,130353,IN,,True,Easy Ship
57,279-2324869-7418028,03-16-23,Shipped,Amazon,Amazon.in,Standard,ST911,ST911-WD-S,Top,L,B8942323627,Shipped,1,INR,487.44,Kanpur,Uttar Pradesh,621841,IN,,False,Easy Ship
58,552-6797629-6018975,11-25-22,Cancelled,Amazon,Amazon.in,Standard,ST394,ST394-WD-S,Set,L,B9166949781,,0,INR,0.0,Meerut,Uttar Pradesh,362246,IN,,False,Easy Ship
59,949-7640518-5605016,08-30-22,Delivered,Merchant,Amazon.in,Standard,ST816,ST816-TP-XS,Kurta,M,B1185957706,Delivered,1,INR,657.96,Patna,Bihar,151426,IN,,False,Easy Ship
60,199-1661401-6183033,03-14-23,Delivered,Amazon,Amazon.in,Standard,ST873,ST873-WD-3XL,Western Dress,M,B6614478111,Delivered,1,INR,1392.43,Faridabad,Haryana,707727,IN,,False,Easy Ship
61,613-5572250-3760597,01-02-23,Cancelled,Amazon,Amazon.in,Standard,ST997,ST997-TP-XL,Bottom,L,B4274672520,,0,INR,0.0,Surat,Gujarat,409478,IN,,False,Easy Ship
62,909-7619862-1233516,10-21-22,Delivered,Amazon,Amazon.in,Expedited,ST966,ST966-TP-S,Kurta,L,B4382017516,Delivered,2,INR,2046.44,Bengaluru,Karnataka,229592,IN,,False,Easy Ship
63,326-2060605-8789116,02-12-23,Shipped,Amazon,Amazon.in,Standard,ST674,ST674-TP-XXL,Western Dress,XS,B9950559278,Shipped,1,INR,1153.36,Meerut,Uttar Pradesh,780776,IN,,False,Easy Ship
64,786-8031780-3592464,06-09-22,Shipped,Merchant,Amazon.in,Standard,ST497,ST497-SR-M,Top,XS,B6397902129,Shipped,1,INR,820.08,Lucknow,Uttar Pradesh,203831,IN,,False,Easy Ship
65,760-7017548-2015861,10-03-22,Delivered,Merchant,Amazon.in,Standard,ST201,ST201-TP-XL,Western Dress,3XL,B6047028180,Delivered,1,INR,1919.89,Varanasi,Uttar Pradesh,299028,IN,,False,Easy Ship
66,310-2151087-4475523,09-18-22,Pending,Amazon,Amazon.in,Expedited,ST349,ST349-WD-XXL,Blouse,XS,B8538984499,,3,INR,672.87,Pune,Maharashtra,344316,IN,,False,Easy Ship
67,115-7010308-4991829,05-27-22,Shipped,Amazon,Amazon.in,Standard,ST776,ST776-KR-S,Kurta,Free,B8553455870,Shipped,1,INR,1097.51,Jaipur,Rajasthan,116547,IN,,False,Easy Ship
68,615-4716988-1727544,10-03-22,Shipped,Amazon,Amazon.in,Standard,ST625,ST625-KR-L,Saree,L,B9479987997,Shipped,2,INR,4064.98,Indore,Madhya Pradesh,416282,IN,,False,Easy Ship
69,251-2101965-3117143,05-08-22,Shipped,Amazon,Amazon.in,Standard,ST182,ST182-TP-XXL,Top,XXL,B4593794475,Shipped,1,INR,835.79,Nagpur,Maharashtra,763829,IN,,False,Easy Ship
70,562-4833486-7942639,03-26-23,Cancelled,Amazon,Amazon.in,Standard,ST217,ST217-WD-L,Set,L,B5370867592,,0,INR,0.0,Vadodara,Gujarat,518098,IN,,False,Easy Ship
71,195-8245685-2620082,11-29-22,Delivered,Amazon,Amazon.in,Expedited,ST168,ST168-KR-S,Blouse,S,B5727463800,Delivered,1,INR,275.32,Surat,Gujarat,683397,IN,,False,Easy Ship
72,206-9512969-4569164,08-26-22,Cancelled,Amazon,Amazon.in,Standard,ST714,ST714-TP-M,Western Dress,XL,B2998145654,,0,INR,0.0,Indore,Madhya Pradesh,605612,IN,,False,Easy Ship
73,773-5487028-1485753,01-13-23,Delivered,Amazon,Amazon.in,Standard,ST885,ST885-KR-XXL,Kurta,S,B3346677730,Delivered,1,INR,1106.22,Kanpur,Uttar Pradesh,423993,IN,,False,Easy Ship
74,529-8610913-6719285,04-16-22,Cancelled,Amazon,Amazon.in,Standard,ST193,ST193-WD-L,Ethnic Dress,S,B3059667685,,0,INR,0.0,Chennai,Tamil Nadu,426775,IN,,False,Easy Ship
75,552-7948850-5582979,03-05-23,Shipped,Amazon,Amazon.in,Standard,ST534,ST534-SR-XXL,Ethnic Dress,3XL,B3778765957,Shipped,1,INR,1252.05,Kolkata,West Bengal,219346,IN,,False,Easy Ship
76,309-6056977-4543918,07-22-22,Cancelled,Amazon,Amazon.in,Standard,ST504,ST504-KR-XS,Ethnic Dress,Free,B2744295247,,0,INR,0.0,Rajkot,Gujarat,403507,IN,,False,Easy Ship
77,506-1709714-8318550,12-13-22,Shipped,Merchant,Amazon.in,Expedited,ST672,ST672-TP-S,Kurta,L,B1271707170,Shipped,1,INR,1002.67,Indore,Madhya Pradesh,181644,IN,,False,Easy Ship
78,470-2478574-8326807,09-14-22,Cancelled,Amazon,Amazon.in,Standard,ST275,ST275-SR-Free,Blouse,M,B2342657384,,0,INR,0.0,Varanasi,Uttar Pradesh,556839,IN,,False,Easy Ship
79,622-4253164-6861544,12-18-22,Delivered,Amazon,Amazon.in,Standard,ST748,ST748-KR-XL,Western Dress,M,B5496629889,Delivered,1,INR,668.01,Amritsar,Punjab,254864,IN,,False,Easy Ship
80,872-8531380-6422534,06-30-22,Shipped,Merchant,Amazon.in,Standard,ST891,ST891-SR-L,Ethnic Dress,3XL,B9052431444,Shipped,2,INR,4344.44,Kolkata,West Bengal,258290,IN,,False,Easy Ship
81,158-7186390-5816353,09-06-22,Pending,Merchant,Amazon.in,Standard,ST572,ST572-SR-XS,Set,XXL,B1996525668,,1,INR,1513.67,Lucknow,Uttar Pradesh,194682,IN,,False,Easy Ship
82,587-9411547-3531028,02-28-23,Shipped,Amazon,Amazon.in,Expedited,ST292,ST292-TP-XXL,Bottom,S,B1770468188,Shipped,1,INR,775.38,Agra,Uttar Pradesh,208529,IN,,False,Easy Ship
83,481-5746166-7499771,11-11-22,Shipped,Amazon,Amazon.in,Standard,ST636,ST636-WD-M,Blouse,M,B6255414869,Shipped,1,INR,552.81,Vadodara,Gujarat,726928,IN,,False,Easy Ship
84,183-3372774-6869018,03-03-23,Cancelled,Amazon,Amazon.in,Standard,ST717,ST717-WD-M,Saree,XL,B4998054173,,0,INR,0.0,Hyderabad,Telangana,794299,IN,,False,Easy Ship
85,786-8103580-9531021,03-17-23,Delivered,Amazon,Amazon.in,Standard,ST639,ST639-KR-3XL,Blouse,L,B5612446861,Delivered,2,INR,1068.12,Nagpur,Maharashtra,480211,IN,,False,Easy Ship
86,444-3198638-7320310,05-22-22,Shipped,Amazon,Amazon.in,Expedited,ST619,ST619-KR-3XL,Set,L,B2931776452,Shipped,1,INR,1090.58,Pune,Maharashtra,289630,IN,,False,Easy Ship
87,902-8531761-4925917,11-14-22,Delivered,Merchant,Amazon.in,Standard,ST725,ST725-TP-Free,Top,M,B7842100652,Delivered,1,INR,365.27,Delhi,Delhi,424500,IN,,False,Easy Ship
88,936-4350371-3321942,10-13-22,Cancelled,Amazon,Amazon.in,Expedited,ST614,ST614-SR-S,Ethnic Dress,S,B4217003454,,0,INR,0.0,Rajkot,Gujarat,772324,IN,,False,Easy Ship
89,193-4725179-8568671,08-18-22,Shipped,Amazon,Amazon.in,Standard,ST560,ST560-WD-L,Saree,L,B5413579612,Shipped,1,INR,2835.73,Varanasi,Uttar Pradesh,535050,IN,,False,Easy Ship
90,139-5813037-8926478,02-27-23,Delivered,Amazon,Amazon.in,Standard,ST443,ST443-WD-S,Western Dress,XS,B9928628439,Delivered,1,INR,1888.32,Bengaluru,Karnataka,591897,IN,,False,Easy Ship
91,343-6052478-3044276,12-27-22,Shipped,Merchant,Amazon.in,Standard,ST533,ST533-KR-M,Set,S,B1642002808,Shipped,1,INR,1953.47,Jaipur,Rajasthan,540218,IN,,False,Easy Ship
92,539-1026245-6919270,08-02-22,Returned,Amazon,Amazon.in,Expedited,ST835,ST835-WD-M,Ethnic Dress,M,B4086593187,Returned,1,INR,1835.9,Patna,Bihar,536802,IN,,False,Easy Ship
93,144-7490791-7262974,01-09-23,Returned,Amazon,Amazon.in,Standard,ST120,ST120-SR-L,Saree,Free,B4212179995,Returned,1,INR,3466.33,Bengaluru,Karnataka,474440,IN,,False,Easy Ship
94,659-6679880-3937508,09-18-22,Shipped,Amazon,Amazon.in,Standard,ST236,ST236-KR-M,Blouse,Free,B9772360629,Shipped,2,INR,1133.18,Rajkot,Gujarat,601776,IN,,False,Easy Ship
95,507-8942330-5249899,04-22-22,Delivered,Amazon,Amazon.in,Expedited,ST423,ST423-TP-XL,Kurta,M,B1496825515,Delivered,1,INR,1090.11,Bhopal,Madhya Pradesh,300386,IN,,False,Easy Ship
96,608-9347057-7163058,11-12-22,Delivered,Amazon,Amazon.in,Standard,ST495,ST495-TP-S,Kurta,XXL,B7645798645,Delivered,1,INR,699.02,Jaipur,Rajasthan,186624,IN,,False,Easy Ship
97,717-8149041-3795835,03-05-23,Delivered,Amazon,Amazon.in,Expedited,ST402,ST402-TP-L,Saree,L,B9869580374,Delivered,1,INR,923.19,Kolkata,West Bengal,468623,IN,,False,Easy Ship
98,246-8351320-1583829,10-04-22,Shipped,Amazon,Amazon.in,Standard,ST625,ST625-WD-XS,Blouse,L,B2619023909,Shipped,1,INR,517.76,Jaipur,Rajasthan,347459,IN,,False,Easy Ship
99,687-3310140-9882862,10-07-22,Pending,Amazon,Amazon.in,Standard,ST480,ST480-SR-S,Kurta,XS,B5663423225,,1,INR,748.92,Nashik,Maharashtra,429657,IN,,False,Easy Ship
100,556-4599894-5791184,05-31-22,Cancelled,Amazon,Amazon.in,Standard,ST368,ST368-TP-Free,Kurta,S,B9875927774,,0,INR,0.0,Amritsar,Punjab,309902,IN,,False,Easy Ship
101,166-5871470-6032437,09-11-22,Shipped,Amazon,Amazon.in,Standard,ST783,ST783-TP-Free,Top,M,B3095590648,Shipped,2,INR,1752.58,Varanasi,Uttar Pradesh,282547,IN,,False,Easy Ship
102,188-2103070-6189037,10-06-22,Cancelled,Merchant,Amazon.in,Expedited,ST578,ST578-WD-XXL,Set,S,B6074245343,,0,INR,0.0,Chennai,Tamil Nadu,651231,IN,,False,Easy Ship
103,543-9436654-1929673,09-24-22,Shipped,Amazon,Amazon.in,Standard,ST231,ST231-WD-S,Western Dress,Free,B2579538491,Shipped,1,INR,1487.17,Chennai,Tamil Nadu,260448,IN,,False,Easy Ship
104,740-6080553-9950276,08-07-22,Returned,Amazon,Amazon.in,Standard,ST301,ST301-TP-S,Western Dress,3XL,B2177454225,Returned,2,INR,3504.98,Ahmedabad,Gujarat,772124,IN,,False,Easy Ship
105,146-5440189-4536777,04-22-22,Pending,Merchant,Amazon.in,Expedited,ST945,ST945-KR-S,Bottom,XL,B8365913331,,1,INR,849.55,Faridabad,Haryana,748133,IN,,False,Easy Ship
106,174-2005173-3652149,03-17-23,Delivered,Amazon,Amazon.in,Expedited,ST515,ST515-TP-L,Blouse,S,B6665783806,Delivered,1,INR,601.34,Lucknow,Uttar Pradesh,607774,IN,,False,Easy Ship
107,675-2781470-6353876,10-22-22,Delivered,Amazon,Amazon.in,Standard,ST233,ST233-TP-XL,Bottom,S,B4072608888,Delivered,2,INR,1617.02,Surat,Gujarat,228473,IN,,False,Easy Ship
108,838-6246485-4184887,06-21-22,Cancelled,Amazon,Amazon.in,Standard,ST933,ST933-TP-XXL,Set,XS,B3076876068,,0,INR,0.0,Delhi,Delhi,639728,IN,,False,Easy Ship
109,388-9302946-8895137,01-24-23,Returned,Merchant,Amazon.in,Standard,ST461,ST461-KR-XS,Top,M,B4682033413,Returned,1,INR,367.51,Bengaluru,Karnataka,108574,IN,,False,Easy Ship
110,666-5841933-2233658,01-17-23,Cancelled,Amazon,Amazon.in,Expedited,ST675,ST675-WD-M,Western Dress,3XL,B5977680031,,0,INR,0.0,Amritsar,Punjab,572230,IN,,False,Easy Ship
111,303-9541658-7734157,09-21-22,Shipped,Amazon,Amazon.in,Standard,ST671,ST671-TP-S,Kurta,XL,B7415402922,Shipped,3,INR,2078.7,Faridabad,Haryana,147504,IN,,True,Easy Ship
112,731-6020319-6643410,02-08-23,Pending,Amazon,Amazon.in,Standard,ST426,ST426-WD-L,Kurta,XS,B7478412668,,2,INR,877.56,Bhopal,Madhya Pradesh,658198,IN,,False,Easy Ship
113,585-5454861-4817541,03-19-23,Shipped,Merchant,Amazon.in,Standard,ST744,ST744-KR-XXL,Western Dress,3XL,B1688319168,Shipped,3,INR,3998.76,Kanpur,Uttar Pradesh,603787,IN,,False,Easy Ship
114,255-7928320-4420734,04-10-22,Pending,Amazon,Amazon.in,Expedited,ST551,ST551-TP-L,Kurta,S,B6277353073,,3,INR,1226.7,Ahmedabad,Gujarat,741181,IN,,False,Easy Ship
115,570-9944387-6743294,12-26-22,Returned,Amazon,Amazon.in,Expedited,ST485,ST485-TP-S,Set,L,B7957551594,Returned,1,INR,1823.45,Vadodara,Gujarat,774558,IN,,False,Easy Ship
116,312-9204110-6319061,08-31-22,Delivered,Amazon,Amazon.in,Standard,ST889,ST889-TP-Free,Set,S,B7156815569,Delivered,1,INR,948.73,Pune,Maharashtra,687713,IN,,False,Easy Ship
117,143-5825636-2325893,09-24-22,Returned,Merchant,Amazon.in,Standard,ST891,ST891-WD-M,Blouse,M,B5469374716,Returned,1,INR,689.08,Nashik,Maharashtra,787836,IN,,False,Easy Ship
118,151-9909397-4786141,02-10-23,Returned,Amazon,Amazon.in,Expedited,ST858,ST858-WD-M,Set,L,B9141250794,Returned,1,INR,773.55,Agra,Uttar Pradesh,155040,IN,,False,Easy Ship
119,766-4346315-5819172,06-20-22,Shipped,Amazon,Amazon.in,Expedited,ST516,ST516-SR-L,Blouse,XXL,B5148307798,Shipped,1,INR,474.18,Hyderabad,Telangana,777273,IN,,False,Easy Ship
120,290-5856449-1628578,06-30-22,Shipped,Amazon,Amazon.in,Standard,ST137,ST137-SR-L,Saree,L,B1150049524,Shipped,3,INR,3567.54,Ahmedabad,Gujarat,695551,IN,,False,Easy Ship
121,928-2889899-6547958,12-15-22,Returned,Amazon,Amazon.in,Standard,ST579,ST579-TP-M,Saree,Free,B3071594457,Returned,1,INR,3326.97,Meerut,Uttar Pradesh,779776,IN,,False,Easy Ship
122,627-6501696-2455218,02-07-23,Pending,Amazon,Amazon.in,Standard,ST976,ST976-SR-L,Set,M,B6199826000,,1,INR,885.32,Surat,Gujarat,200018,IN,,False,Easy Ship
123,840-1191859-5388133,08-15-22,Delivered,Amazon,Amazon.in,Standard,ST437,ST437-TP-XXL,Kurta,M,B9358258264,Delivered,1,INR,745.74,Ahmedabad,Gujarat,347781,IN,,False,Easy Ship
124,402-7166363-4705235,09-07-22,Returned,Amazon,Amazon.in,Standard,ST806,ST806-KR-3XL,Top,Free,B3827927298,Returned,3,INR,2461.38,Kolkata,West Bengal,601410,IN,,False,Easy Ship
125,557-9861274-7069742,08-05-22,Returned,Amazon,Amazon.in,Expedited,ST796,ST796-KR-XL,Top,XL,B1985721444,Returned,2,INR,1553.84,Agra,Uttar Pradesh,217659,IN,,False,Easy Ship
126,622-8473959-1933413,03-15-23,Delivered,Amazon,Amazon.in,Expedited,ST310,ST310-SR-S,Kurta,L,B6827709269,Delivered,2,INR,1481.68,Chennai,Tamil Nadu,638179,IN,,False,Easy Ship
